access_code,access_days_time,access_detail_code,cards_accepted,date_last_confirmed,expected_date,fuel_type_code,groups_with_access_code,id,maximum_vehicle_class,open_date,owner_type_code,restricted_access,status_code,funding_sources,facility_type,station_name,station_phone,updated_at,geocode_status,latitude,longitude,city,country,intersection_directions,plus4,state,street_address,zip,bd_blends,cng_dispenser_num,cng_fill_type_code,cng_has_rng,cng_psi,cng_renewable_source,cng_total_compression,cng_total_storage,cng_vehicle_class,e85_blender_pump,e85_other_ethanol_blends,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network,ev_network_web,ev_other_evse,ev_pricing,ev_renewable_source,ev_workplace_charging,hy_is_retail,hy_pressures,hy_standards,hy_status_link,lng_has_rng,lng_renewable_source,lng_vehicle_class,lpg_nozzle_types,lpg_primary,ng_fill_type_code,ng_psi,ng_vehicle_class,rd_blended_with_biodiesel,rd_blends,rd_blends_fr,rd_max_biodiesel_level,nps_unit_name,access_days_time_fr,intersection_directions_fr,bd_blends_fr,groups_with_access_code_fr,ev_pricing_fr,ev_network_ids.station,ev_network_ids.posts,federal_agency.id,federal_agency.code,federal_agency.name
public,24 hours daily,,,2024-05-09,,ELEC,Public,46723,LD,2012-02-07,P,False,E,,RESTAURANT,Stone Brewing World Bistro & Gardens,760-471-4999,2024-05-09T20:32:20Z,GPS,33.11587,-117.11955,Escondido,US,,,CA,1999 Citracado Pkwy,92029,,,,,,,,,,,,['J1772'],,,2.0,Non-Networked,,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,,,,,
private,,,,2024-02-12,,ELEC,Private,47607,,2011-03-15,P,,E,,CAR_DEALER,Mossy Nissan - El Cajon,619-588-0500,2024-02-12T15:25:05Z,200-9,32.795896,-116.976156,El Cajon,US,,,CA,1170 W Main St,92020,,,,,,,,,,,,"['CHADEMO', 'J1772', 'J1772COMBO']",2.0,,1.0,Non-Networked,,,,,False,,,,,,,,,,,,,,,,,,,,,Privé,,,,,,
private,,,,2024-02-12,,ELEC,Private,47609,,2011-03-15,P,,E,,CAR_DEALER,Mossy Nissan - Escondido,760-746-5050,2024-02-12T15:25:05Z,200-9,33.116492,-117.106837,Escondido,US,,,CA,1546 Auto Park Way,92029,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,,,False,,,,,,,,,,,,,,,,,,,,,Privé,,,,,,
private,,,,2024-02-12,,ELEC,Private,48154,,2011-03-15,P,,E,,CAR_DEALER,Mossy Nissan,619-474-7011,2024-02-12T15:25:05Z,200-9,32.659001,-117.100836,National City,US,,,CA,2700 National City Blvd,91950,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,,,False,,,,,,,,,,,,,,,,,,,,,Privé,,,,,,
private,,,,2024-02-12,,ELEC,Private,48160,LD,2011-03-15,P,,E,,CAR_DEALER,Mossy Nissan - Poway,858-668-3600,2024-02-12T15:25:05Z,200-8,32.95678,-117.02581,Poway,US,,,CA,14100 Poway Rd,92064,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,,,False,,,,,,,,,,,,,,,,,,,,,Privé,,,,,,
private,,,,2024-02-12,,ELEC,Private,48170,,2011-03-15,P,,E,,CAR_DEALER,Mossy Nissan - Kearny Mesa,858-565-4411,2024-02-12T15:25:05Z,200-9,32.833179,-117.147384,San Diego,US,,,CA,8118 Clairemont Mesa Blvd,92111,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,,,False,,,,,,,,,,,,,,,,,,,,,Privé,,,,,,
private,,,,2024-02-12,,ELEC,Private,48171,,2011-04-01,P,,E,,CAR_DEALER,Pacific Nissan,858-581-3200,2024-02-12T15:25:05Z,200-9,32.802475,-117.215269,San Diego,US,,,CA,4433 Mission Bay Dr,92109,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,,,False,,,,,,,,,,,,,,,,,,,,,Privé,,,,,,
private,VA fleet use only,,,2021-02-22,,ELEC,Private,52468,,2013-06-30,FG,,E,,HOSPITAL,San Diego  Veterans Affairs Medical Center,,2021-03-11T23:22:17Z,GPS,32.8752051208875,-117.232696293323,San Diego,US,,,CA,3350 La Jolla Village Dr,92161,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,,SOLAR,False,,,,,,,,,,,,,,,,,,,,,Privé,,,,19.0,VA,Department of Veterans Affairs
public,Dealership business hours; see receptionist for access,CALL,,2023-05-03,,ELEC,Public - Call ahead,53909,LD,2013-11-15,P,True,E,,CAR_DEALER,Mossy Honda of Lemon Grove,619-461-2600,2024-01-31T22:07:01Z,200-8,32.744765,-117.030389,Lemon Grove,US,,,CA,3615 Lemon Grove Ave,91945,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,,,False,,,,,,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,,,,,
public,Dealership business hours; customer use only,CALL,,2023-05-03,,ELEC,Public - Call ahead,53915,LD,2013-12-01,P,True,E,,CAR_DEALER,Mossy Ford,858-273-7500,2024-01-31T22:07:01Z,200-9,32.80377,-117.218255,San Diego,US,,,CA,4570 Mission Bay Dr,92109,,,,,,,,,,,,['J1772'],,,4.0,Non-Networked,,,,,False,,,,,,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,,,,,
public,Dealership business hours; for Ford vehicles only,CALL,,2024-05-09,,ELEC,Public - Call ahead,53930,LD,2013-11-01,P,True,E,,CAR_DEALER,North County Ford,760-945-9900,2024-05-09T20:32:20Z,200-9,33.196108,-117.250815,Vista,US,,,CA,450 W Vista Way,92083,,,,,,,,,,,,['J1772'],,,2.0,Non-Networked,,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,,,,,
public,Dealership business hours,CALL,,2024-02-12,,ELEC,Public - Call ahead,61791,,2014-02-01,P,False,E,,CAR_DEALER,Mossy Nissan,619-397-6578,2024-02-12T15:25:05Z,200-9,32.595542,-117.02529,Chula Vista,US,,,CA,1885 Auto Park Pl,91911,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,,,,,
private,,,,2024-02-12,,ELEC,Private,61792,,2014-02-01,P,,E,,CAR_DEALER,Mossy Nissan,619-397-6578,2024-02-12T15:25:05Z,200-9,32.595542,-117.02529,Chula Vista,US,,,CA,1885 Auto Park Pl,91911,,,,,,,,,,,,"['CHADEMO', 'J1772', 'J1772COMBO']",2.0,,1.0,Non-Networked,,,,,False,,,,,,,,,,,,,,,,,,,,,Privé,,,,,,
private,Employee use only,,,2024-08-15,,ELEC,Private,66882,LD,2011-01-01,P,,E,,HOSPITAL,Scripps Green Hospital,,2024-08-15T19:57:12Z,GPS,32.89947,-117.243,La Jolla,US,"Patient Parking Structure, level G",,CA,10666 N Torrey Pines Rd,92037,,,,,,,,,,,,['J1772'],,,2.0,Non-Networked,,,,,True,,,,,,,,,,,,,,,,,,,,,Privé,,,,,,
public,,,,2024-12-03,,ELEC,Public,69975,,2014-09-01,,,E,,,Coronado Cays,855-885-9571,2024-12-03T03:23:34Z,GPS,32.62453,-117.1303,Coronado,US,,,CA,590 Grand Caribe Causeway,92118,,,,,,,,,,,,['J1772'],,,4.0,OpConnect,http://www.opconnect.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,['118'],"['206_1', '207_1', '952_1', '953_1']",,,
private,24 hours daily,FLEET,ANDROID_PAY APPLE_PAY CREDIT Debit,2024-08-15,,ELEC,Private - Fleet customers only,69981,LD,2023-05-01,LG,,E,,MUNI_GOV,City of Encinitas - Civic Center Parking Lot,760-633-2600,2024-08-15T19:57:12Z,200-9,33.045626,-117.291461,Encinitas,US,"East of S. Vulcan Avenue, south of East D Street, north of East E Street and west of Cornish Drive",,CA,505 S Vulcan Ave,92024,,,,,,,,,,,,"['CHADEMO', 'J1772', 'J1772COMBO']",6.0,,10.0,ChargePoint Network,http://www.chargepoint.com/,,,,True,,,,,,,,,,,,,,,,,,,,,Privé - Réservé aux clients de parcs,,,,,,
public,8am-5pm daily,,,2023-06-12,,ELEC,Public,70565,MD,2014-10-01,LG,False,E,,OFFICE_BLDG,Port of San Diego - Admin Building,,2024-01-31T22:07:01Z,GPS,32.735306,-117.176837,San Diego,US,,,CA,3165 Pacific Hwy,92101,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,Free,SOLAR,False,,,,,,,,,,,,,,,,,,,,,Public,,,,,,
public,Mon 6:00am - 11:59pm; Tue 6:00am - 11:59pm; Wed 6:00am - 11:59pm; Thu 6:00am - 11:59pm; Fri 6:00am - 11:59pm; Sat 6:00am - 11:59pm; Sun 6:00am - 11:59pm,,,2024-12-04,2024-09-18,ELEC,TEMPORARILY UNAVAILABLE (Public),70567,,2012-10-01,,False,T,,,Whole Foods Market Hillcrest 03,888-264-2208,2024-12-04T01:39:04Z,GPS,32.747673,-117.158101,San Diego,US,,,CA,711 University Ave,92103,,,,,,,,,,,,['J1772'],,,1.0,SHELL_RECHARGE,https://www.shell.us/motorist/electric-vehicle-charging.html,,,,False,,,,,,,,,,,,,,,,,,,,,TEMPORAIREMENT SUSPENDU (Public),,['6411'],['265Z-03'],,,
public,,,,2024-12-03,,ELEC,Public,70882,,2016-03-07,,,E,,,Mission Bay Aquatic Center - San Diego,855-885-9571,2024-12-03T03:23:37Z,GPS,32.78254,-117.249228,San Diego,US,,,CA,1001 Santa Clara Place,92109,,,,,,,,,,,,['J1772'],,,2.0,OpConnect,http://www.opconnect.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,['150'],"['249_1', '250_1']",,,
public,,,,2024-12-03,,ELEC,Public,70884,,2016-02-25,,,E,,,Ocean Air Rec. Center - San Diego,855-885-9571,2024-12-03T03:23:35Z,GPS,32.931292,-117.217379,San Diego,US,,,CA,4770 Fairport Way,92130,,,,,,,,,,,,['J1772'],,,3.0,OpConnect,http://www.opconnect.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,['123'],"['239_1', '239_2', '240_1']",,,
public,,,,2024-12-03,,ELEC,Public,71517,,2016-02-20,,,E,,,Otay Mesa Library - San Diego,855-885-9571,2024-12-03T03:23:34Z,GPS,32.57687,-117.06867,San Diego,US,,,CA,3003 Coronado Ave.,92154,,,,,,,,,,,,['J1772'],,,2.0,OpConnect,http://www.opconnect.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,['122'],"['242_1', '244_1']",,,
public,,,,2024-12-03,,ELEC,Public,71519,,2016-03-21,,,E,,,Nobel Rec Center - San Diego,855-885-9571,2024-12-03T03:23:34Z,GPS,32.86722,-117.19888,San Diego,US,,,CA,8810 Judicial Dr.,92122,,,,,,,,,,,,['J1772'],,,2.0,OpConnect,http://www.opconnect.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,['121'],"['194_1', '237_1']",,,
public,,,,2024-12-03,,ELEC,Public,71524,,2016-04-03,,,E,,,Rancho Bernardo-Glassman Rec.,855-885-9571,2024-12-03T03:23:34Z,GPS,33.0474,-117.074023,San Diego,US,,,CA,18448 W Bernardo Dr.,92127,,,,,,,,,,,,['J1772'],,,1.0,OpConnect,http://www.opconnect.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,['120'],['231_1'],,,
private,Employee use only,,,2024-09-12,,ELEC,Private,72360,LD,2015-06-01,P,,E,,UTILITY,San Diego Gas and Electric - Metro,,2024-09-12T16:47:34Z,GPS,32.713145,-117.120837,San Diego,US,,,CA,735 33rd St,92102,,,,,,,,,,,,['J1772'],,,6.0,Non-Networked,,,,,True,,,,,,,,,,,,,,,,,,,,,Privé,,,,,,
public,24 hours daily,,,2023-05-03,,ELEC,Public,72802,LD,2016-01-25,P,False,E,,HOSPITAL,UC San Diego Health System - Chancellor Park,619-294-3746,2024-01-31T22:07:01Z,GPS,32.8761269,-117.211,San Diego,US,,,CA,4510 Executive Dr,92121,,,,,,,,,,,,['J1772'],,,2.0,Non-Networked,,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,['170160G01001020000'],,,,
public,24 hours daily,,,2022-01-10,2022-01-05,ELEC,TEMPORARILY UNAVAILABLE (Public),72850,LD,2016-01-25,P,False,T,,TRAVEL_CENTER,Peñasquitos Transit Station,619-557-4555,2022-02-10T19:42:29Z,GPS,32.9621984,-117.0921177,San Diego,US,,,CA,13538 Sabre Springs Pkwy,92128,,,,,,,,,,,,['J1772'],,,10.0,Non-Networked,,,,,False,,,,,,,,,,,,,,,,,,,,,TEMPORAIREMENT SUSPENDU (Public),,['173714G01001010000'],,,,
private,,,,2023-12-13,,ELEC,Private,74646,,2016-03-01,P,,E,,FLEET_GARAGE,United Parcel Service,,2024-11-13T21:33:39Z,200-8,33.590023,-117.730359,Laguna Hills,US,,,CA,22 Brookline Dr,92656,,,,,,,,,,,,['J1772'],,,2.0,Non-Networked,,,,,False,,,,,,,,,,,,,,,,,,,,,Privé,,,,,,
private,Service center use only,,,2023-06-12,,ELEC,Private,75472,LD,2017-04-28,P,,E,,CAR_DEALER,Chula Vista Ford,619-656-2500,2024-01-31T22:07:01Z,200-9,32.593786,-117.030544,Chula Vista,US,Two chargers located on the Ford side and two chargers located on the Kia side,,CA,560 Auto Park Dr,91911,,,,,,,,,,,,['CHADEMO'],1.0,,,Non-Networked,,,,,False,,,,,,,,,,,,,,,,,,,,,Privé,,,,,,
public,,,,2024-12-03,,ELEC,Public,75489,,2016-04-01,,,E,,,Coronado Golf Course,855-885-9571,2024-12-03T03:23:34Z,GPS,32.684762,-117.166005,Coronado,US,,,CA,2000 Visalia Row,92118,,,,,,,,,,,,['J1772'],,,3.0,OpConnect,http://www.opconnect.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,['117'],"['228_1', '232_1', '233_1']",,,
private,,,,2021-02-22,,ELEC,Private,77654,,2016-08-15,FG,,E,,MIL_BASE,Naval Exchange - Naval Base - Coronado - Naval Air Station - North Island,,2021-03-11T23:22:17Z,GPS,32.701602,-117.184216,Coronado,US,,,CA,Bldg 2017,92135,,,,,,,,,,,,['J1772'],,,2.0,Non-Networked,,,,,False,,,,,,,,,,,,,,,,,,,,,Privé,,,,14.0,DON,Department of Navy
public,8am-8:30pm M-F; Employee and visitor use only; 2 hour limit,,,2024-05-09,,ELEC,Public,77858,LD,2016-08-01,P,True,E,,OFFICE_BLDG,International Brotherhood of Electrical Workers 569,858-569-6633,2024-05-09T20:32:20Z,200-9,32.822918,-117.124015,San Diego,US,,,CA,4545 Viewridge Ave,92123,,,,,,,,,,,,['J1772'],,,3.0,Non-Networked,,,Free,,True,,,,,,,,,,,,,,,,,,,,,Public,,,,,,
public,,,,2024-12-03,,ELEC,Public,81772,,2017-02-01,,,E,,,Hillcrest Market - San Diego,855-885-9571,2024-12-03T03:23:37Z,GPS,32.74995,-117.14921,San Diego,US,,,CA,3191 Normal Street,92103,,,,,,,,,,,,['J1772'],,,3.0,OpConnect,http://www.opconnect.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,['159'],"['301_1', '488_1', '491_1']",,,
public,,,,2024-12-03,,ELEC,Public,81773,,2017-02-01,,,E,,,Hourglass Community Park - San Diego,855-885-9571,2024-12-03T03:23:37Z,GPS,32.906906,-117.121827,San Diego,US,,,CA,9490 Gold Coast Drive,92126,,,,,,,,,,,,['J1772'],,,3.0,OpConnect,http://www.opconnect.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,['160'],"['298_1', '298_2', '299_1']",,,
public,Dealership business hours,CALL,,2023-06-12,,ELEC,Public - Call ahead,82460,LD,2017-04-28,P,False,E,,CAR_DEALER,Chula Vista Ford,619-656-2500,2024-01-31T22:07:01Z,200-9,32.593786,-117.030544,Chula Vista,US,Two chargers located on the Ford side and two chargers located on the Kia side,,CA,560 Auto Park Dr,91911,,,,,,,,,,,,['J1772'],,,4.0,Non-Networked,,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,,,,,
private,Also accepts paying arrangement made with station manager,,Wright_Exp,2023-07-11,,ELEC,Private,86979,,2012-08-01,FG,,E,,MIL_BASE,Naval Base - Point Loma,,2024-01-31T22:07:01Z,GPS,32.688114,-117.239339,San Diego,US,,,CA,Naval Base Point Loma,92136,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,,,False,,,,,,,,,,,,,,,,,,,,,Privé,,,,14.0,DON,Department of Navy
public,24 hours daily,,,2023-01-10,,ELEC,Public,89626,LD,2017-11-15,P,False,E,,PARKING_LOT,Elements Apartments,408-271-2600,2023-02-14T15:54:11Z,200-9,37.317246,-121.909487,San Jose,US,,,CA,1201 Parkmoor Ave,95126,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,,,,,
public,24 hours daily,,,2024-12-04,2024-08-26,ELEC,TEMPORARILY UNAVAILABLE (Public),95098,,2012-05-31,,,T,,,Port of San Diego - Hilton San Diego Bayfront,888-998-2546,2024-12-04T00:10:21Z,GPS,32.704546,-117.157578,San Diego,US,,,CA,1 Park Blvd,92101,,,,,,,,,,,,['J1772'],,,3.0,Blink Network,http://www.blinkcharging.com/,,Free,,False,,,,,,,,,,,,,,,,,,,,,TEMPORAIREMENT SUSPENDU (Public),,['465ba1dd-d734-8158-93cc-330000049963'],"['31269de8-20e4-45b5-946a-36aaf76b5cde', '465ba1dd-d734-8158-93cc-330000711923', 'f42a98f7-f413-4475-98ac-fe01cd6879a7']",,,
public,24 hours daily,,,2024-12-04,,ELEC,Public,95152,,2015-09-04,,,E,,,Mira Mesa - AT&T Building,888-998-2546,2024-12-04T00:20:56Z,GPS,32.912297,-117.14653,San Diego,US,,,CA,8225 Mira Mesa Blvd,92126,,,,,,,,,,,,['J1772'],,,3.0,Blink Network,http://www.blinkcharging.com/,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,['465ba1dd-d734-8158-93cc-330000230885'],"['08b8627d-efd4-454b-b25d-f4588685b79a', '465ba1dd-d734-8158-93cc-330000714075', '465ba1dd-d734-8158-93cc-330000727118']",,,
public,24 hours daily,,,2024-12-04,,ELEC,Public,95153,,2015-09-04,,,E,,,Mira Mesa Office Mall,888-998-2546,2024-12-04T00:20:56Z,GPS,32.913828,-117.142786,San Diego,US,,,CA,10717 Camino Ruiz,92126,,,,,,,,,,,,['J1772'],,,5.0,Blink Network,http://www.blinkcharging.com/,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,['465ba1dd-d734-8158-93cc-330000230884'],"['465ba1dd-d734-8158-93cc-330000690596', '465ba1dd-d734-8158-93cc-330000711914', '465ba1dd-d734-8158-93cc-330000715678', '465ba1dd-d734-8158-93cc-330000717208', 'e0305cce-39c4-44be-a5b7-c12a0b64bb4d']",,,
public,24 hours daily,,,2024-12-04,,ELEC,Public,95288,,2012-11-15,,,E,,,Sheraton Carlsbad,888-998-2546,2024-12-04T00:17:36Z,GPS,33.131337,-117.309163,Carlsbad,US,,,CA,5440 Grand Pacific Dr,92008,,,,,,,,,,,,['J1772'],,,3.0,Blink Network,http://www.blinkcharging.com/,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,['465ba1dd-d734-8158-93cc-330000068397'],"['ac183154-a27f-48c7-b06c-ffda99f00b3b', 'e0dce5f1-e3f1-4ecf-b23d-04464ab04301', 'e7dcb5ef-c16e-44c9-8165-746a433e01b2']",,,
public,24 hours daily,,,2024-12-04,,ELEC,Public,95426,,2013-03-15,,,E,,,Pizza Nova,888-998-2546,2024-12-04T00:43:06Z,GPS,32.725234,-117.225473,San Diego,US,,,CA,5050 N Harbor Dr.,92106,,,,,,,,,,,,['J1772'],,,2.0,Blink Network,http://www.blinkcharging.com/,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,['465ba1dd-d734-8158-93cc-330000086326'],"['415110d3-2795-4120-9dd6-4b0dfd25ccda', '465ba1dd-d734-8158-93cc-330000713946']",,,
public,24 hours daily,,,2024-12-04,,ELEC,Public,95536,,2013-02-15,,,E,,,Hazard Center,888-998-2546,2024-12-04T00:33:21Z,GPS,32.770343,-117.159027,San Diego,US,,,CA,7510 Hazard Center Drive,92108,,,,,,,,,,,,['J1772'],,,3.0,Blink Network,http://www.blinkcharging.com/,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,['465ba1dd-d734-8158-93cc-330000087630'],"['465ba1dd-d734-8158-93cc-330000738570', '67ddad4c-e8c6-43a3-8691-ef6abae61351', 'ec1ed94e-3ce2-4908-a0a1-8c18cf87a859']",,,
public,24 hours daily,,,2024-12-03,,ELEC,Public,95689,,2016-06-15,,,E,,,University of San Diego - IPJ Kroc,888-998-2546,2024-12-03T23:59:53Z,GPS,32.770631,-117.194692,San Diego,US,,,CA,5555 Marian Way,92110,,,,,,,,,,,,['J1772'],,,8.0,Blink Network,http://www.blinkcharging.com/,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,['465ba1dd-d734-8158-93cc-330000269365'],"['465ba1dd-d734-8158-93cc-330000700283', '465ba1dd-d734-8158-93cc-330000705575', '465ba1dd-d734-8158-93cc-330000705615', '465ba1dd-d734-8158-93cc-330000705642', '465ba1dd-d734-8158-93cc-330000705713', '4d64f471-eaf8-4ec2-8fc0-a4470b4c6214', '8e4d1f56-e5ed-49b0-abc1-854c6ba4f90e', 'f740d019-7462-4824-82ab-7bd0d7834243']",,,
public,24 hours daily,,,2024-12-03,,ELEC,Public,95693,,2016-06-15,,,E,,,University of San Diego - Acala Vista,888-998-2546,2024-12-03T23:59:53Z,GPS,32.774056,-117.180542,San Diego,US,,,CA,1520 Via Las Cumbres,92110,,,,,,,,,,,,['J1772'],,,6.0,Blink Network,http://www.blinkcharging.com/,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,['465ba1dd-d734-8158-93cc-330000269363'],"['43282d6e-01ff-4242-96ae-64df33e07db0', '4330f480-3cee-48d6-97a0-28faab5e2df3', '465ba1dd-d734-8158-93cc-330000598106', '50751573-8b6c-4c8f-983c-6b884f213d3f', '521ea310-edd3-40f8-aecd-cf9b30be4f89', '952bf07f-83dc-40f1-a93e-b90d74e2dc44']",,,
